event_id,event_family,field,actual_value,actual_source_name,actual_source_url,consensus_value,consensus_source_name,consensus_source_url,publication_timestamp_utc,snapshot_timestamp_utc,T0_utc,delta_to_T0_seconds,timezone,evidence_type,archive_status,evidence_hash_sha256,independent_validator,confidence,provenance_status,notes
US_CPI_2021-04-13,CPI,headline_cpi_yoy,2.6,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_04132021.htm,,,,,,2021-04-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,64b069973e4ec6ff5741e7a9c1342548bdbce674ac14456e9a74d675246d63c7,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-04-13,CPI,core_cpi_mom,0.3,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_04132021.htm,,,,,,2021-04-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,06ed7878c0006ac23370a1680c1c8f4afde031f052f62e8a71cf667e271e234d,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-04-13,CPI,core_cpi_yoy,1.6,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_04132021.htm,,,,,,2021-04-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,b5cfdf8af1a6f7f1ca0946d906808716e6616b97ecd95a6dbeb51748f7a64841,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-05-12,CPI,headline_cpi_mom,0.8,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_05122021.htm,,,,,,2021-05-12T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,1e46162286cf23097b122c2ed9ab7ba0216aadcd8e36f95e9901ee88f1413fad,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-05-12,CPI,headline_cpi_yoy,4.2,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_05122021.htm,,,,,,2021-05-12T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,5d61013530dc1ef85426ac37a94759d2a31eb558ac9376da99f2e26d18ae9b52,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-05-12,CPI,core_cpi_mom,0.9,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_05122021.htm,,,,,,2021-05-12T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,88c07e13e37988a8cd444d31222c9e6c8dbf7e252b8203250bea581a728ea929,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-05-12,CPI,core_cpi_yoy,3.0,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_05122021.htm,,,,,,2021-05-12T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,ab72d6296f7f8d3970c7b5658f4b67b7bf6c680c00cf5f080efe96c9a828ddf8,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-06-10,CPI,headline_cpi_mom,0.6,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_06102021.htm,,,,,,2021-06-10T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,a2d741cb28320084d54f91bb086729457ad0b07b3d3c14d80f81d36376f92889,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-06-10,CPI,headline_cpi_yoy,5.0,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_06102021.htm,,,,,,2021-06-10T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,45b34633d49d2aadfbd06770c5af5dce9a959d1a6aec639ead5bb9d39bc10fd4,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-06-10,CPI,core_cpi_mom,0.7,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_06102021.htm,,,,,,2021-06-10T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,f8656119e271ffa23e00a20f9e531c3ad86391ef92df07218dd72bfbf6d89863,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-06-10,CPI,core_cpi_yoy,3.8,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_06102021.htm,,,,,,2021-06-10T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,6649e630ffe3b18ad0c9849a6f473de547b75fcd355d9080131cb83982dc7a25,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-07-13,CPI,headline_cpi_mom,0.9,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_07132021.htm,,,,,,2021-07-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,9fd7408d57485df9439d852af5eb151c54542fa295cf29a4f3fa7b67294f7361,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-07-13,CPI,headline_cpi_yoy,5.4,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_07132021.htm,,,,,,2021-07-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,284f52eb29cbd8d54a6f9eeb21399d7398a5f8652e04404e840db1f3eb478cda,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-07-13,CPI,core_cpi_mom,0.9,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_07132021.htm,,,,,,2021-07-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,a270d41969926e812e83ea2b35ddfd3df9c5e1a1a804d3c65b8ce60f4d92ac78,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-07-13,CPI,core_cpi_yoy,4.5,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_07132021.htm,,,,,,2021-07-13T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,8c95d03965a7211f572bb529815e4afef198bbc18b6a26830d6030b073a03695,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-08-11,CPI,headline_cpi_mom,0.5,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_08112021.htm,,,,,,2021-08-11T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,439f0124c3523fffe9d65c3964090aca9c20d1354d78943497bff3d7689cd5bf,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-08-11,CPI,headline_cpi_yoy,5.4,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_08112021.htm,,,,,,2021-08-11T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,443a8b8fbd9a298c033b85b9f4551ee99f5b811635b0987f5305bd468fd3f503,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
US_CPI_2021-08-11,CPI,core_cpi_mom,0.3,BLS archived first release,https://www.bls.gov/news.release/archives/cpi_08112021.htm,,,,,,2021-08-11T12:30:00Z,,America/New_York,NO_ACCEPTABLE_PRE_T0_EVIDENCE,NOT_ACCEPTED,d3a3d3d2de06f1ddac2cfa799b8eee66d08246ae92a59f9c0f123db1307efec1,,0,CONSENSUS_PROVENANCE_INCOMPLETE,Actual preserved from BLS first release; consensus deliberately null.
