event_date,block,horizon_days,orientation,gap_shrank,leader_if_shrank,actual_price_closure,rolloff_closure,raw_state_closure,actual_return_bps,rolloff_segment_bps,actual_supports_closure,rolloff_supports_closure,rolloff_abs_gt_actual_abs
2022-02-06,A_DISCOVERY,1,G_POS,True,NONSPOT_LED,-0.050499888134142246,0.013378440324067091,-0.037121447810075155,504.9988813414225,133.7844032406709,False,True,False
2022-02-06,A_DISCOVERY,3,G_POS,True,NONSPOT_LED,-0.056864401742289995,-0.01319017499763262,-0.07005457673992262,568.6440174229,-131.9017499763262,False,False,False
2022-02-06,A_DISCOVERY,7,G_POS,True,NONSPOT_LED,-0.015969464588547866,0.09591421649080323,0.07994475190225536,159.69464588547865,959.1421649080323,False,True,True
2022-02-10,A_DISCOVERY,1,G_POS,True,SPOT_LED,0.04058413013644963,0.09315684526476879,0.13374097540121843,-405.8413013644963,931.5684526476879,True,True,True
2022-02-10,A_DISCOVERY,3,G_POS,True,SPOT_LED,0.07008361968160665,0.12666848778821643,0.19675210746982308,-700.8361968160665,1266.6848778821643,True,True,True
2022-02-10,A_DISCOVERY,7,G_POS,True,SPOT_LED,0.07794880903814623,0.21272157205837083,0.29067038109651705,-779.4880903814623,2127.2157205837084,True,True,True
2022-03-27,A_DISCOVERY,1,G_POS,False,,-0.05447428084925008,-0.012384527654917847,-0.06685880850416792,544.7428084925008,-123.84527654917846,False,False,False
2022-03-27,A_DISCOVERY,3,G_POS,True,NONSPOT_LED,-0.04987353283161635,0.0306063017467902,-0.01926723108482615,498.73532831616353,306.063017467902,False,True,False
2022-03-27,A_DISCOVERY,7,G_POS,True,NONSPOT_LED,-0.029450585537164436,0.08476066066586935,0.05531007512870491,294.5058553716444,847.6066066586935,False,True,True
2022-05-19,A_DISCOVERY,1,G_POS,True,NONSPOT_LED,0.042405773324289305,0.007749398365867976,0.05015517169015728,-424.05773324289305,77.49398365867975,True,True,False
2022-05-19,A_DISCOVERY,3,G_POS,True,NONSPOT_LED,0.007534693775307694,0.016829305630127654,0.02436399940543535,-75.34693775307694,168.29305630127655,True,True,True
2022-05-19,A_DISCOVERY,7,G_POS,True,NONSPOT_LED,0.018973329650510073,0.014840439375033447,0.03381376902554352,-189.73329650510072,148.40439375033446,True,True,False
