event_date,block,horizon_days,future_date,orientation,available,G0,Gh,AGR,resolution_fraction,gap_shrank,gap_crossed,spot_close,nonspot_close,leader_if_shrank,O_z_move_toward_spot,R_z_move_toward_spot,L_z_move_toward_spot
2022-02-06,A_DISCOVERY,1,2022-02-07,G_POS,True,2.417661138109039,2.1086280815679457,0.8721768523843659,0.12782314761563407,True,False,-0.4480298594236336,0.757062915964727,NONSPOT_LED,,0.0,-0.17508619037237633
2022-02-06,A_DISCOVERY,3,2022-02-09,G_POS,True,2.417661138109039,2.2458066804582204,0.9289170616419662,0.07108293835803381,True,False,-0.8455096452420965,1.0173641028929152,NONSPOT_LED,,-0.16862268986914897,0.08521499655581202
2022-02-06,A_DISCOVERY,7,2022-02-13,G_POS,True,2.417661138109039,0.36946411710546184,0.152818817857343,0.847181182142657,True,False,0.9685408382524667,1.0796561827511106,NONSPOT_LED,,0.1686226898691494,0.14750707641400732
2022-02-10,A_DISCOVERY,1,2022-02-11,G_POS,True,2.657036929058933,1.237844598228467,0.4658740662166429,0.534125933783357,True,False,1.6141598440544846,-0.19496751322401842,SPOT_LED,-0.2811699355325391,-2.1334142722244707,-0.14904033864146715
2022-02-10,A_DISCOVERY,3,2022-02-13,G_POS,True,2.657036929058933,0.36946411710546184,0.13905117880176332,0.8609488211982367,True,False,2.378323758421328,-0.09075094646785681,SPOT_LED,0.6059270397129242,0.8431134493457444,-0.09075094646785681
2022-02-10,A_DISCOVERY,7,2022-02-17,G_POS,True,2.657036929058933,-0.6101655220649097,0.22964134046906814,0.7703586595309319,True,True,3.4735471136324607,-0.20634466250861763,SPOT_LED,-0.032441025503108775,1.4562868670517402,-0.20634466250861763
2022-03-27,A_DISCOVERY,1,2022-03-28,G_POS,True,2.5516477233482933,3.285118141440571,1.2874497178355842,-0.28744971783558415,False,False,-0.7067133689168423,-0.026757049175435865,,-1.441970872771892,0.0,-0.026757049175435865
2022-03-27,A_DISCOVERY,3,2022-03-30,G_POS,True,2.5516477233482933,2.022836955437439,0.7927571415630428,0.20724285843695722,True,False,-0.1497849662122055,0.6785957341230596,NONSPOT_LED,-0.9813132345061751,1.5416931645179326,-0.09184328783904228
2022-03-27,A_DISCOVERY,7,2022-04-03,G_POS,True,2.5516477233482933,0.970659881551984,0.3804051290741169,0.6195948709258832,True,False,0.6133246393261391,0.9676632024701699,NONSPOT_LED,-1.094676149390379,1.8307606328650428,0.28640472913218895
2022-05-19,A_DISCOVERY,1,2022-05-20,G_POS,True,4.178920471386116,1.28365628053449,0.3071741348809902,0.6928258651190098,True,False,0.6146630704454816,2.2806011204061445,NONSPOT_LED,2.2806011204061445,-0.3747170885981077,0.02746309369179656
2022-05-19,A_DISCOVERY,3,2022-05-22,G_POS,True,4.178920471386116,2.2065045471721083,0.5280082648809604,0.4719917351190396,True,False,0.32597408765982105,1.6464418365541862,NONSPOT_LED,1.6464418365541862,0.22483025315886396,-0.08248792633829272
2022-05-19,A_DISCOVERY,7,2022-05-26,G_POS,True,4.178920471386116,2.0788121234334316,0.49745194666121645,0.5025480533387836,True,False,0.45621310108826807,1.6438952468644161,NONSPOT_LED,1.6438952468644161,1.6972479895326122,0.05931403026619009
2022-05-25,A_DISCOVERY,1,2022-05-26,G_POS,True,3.4151553791320035,2.0788121234334316,0.6087020626164842,0.3912979373835158,True,False,0.3839622428021052,0.9523810128964669,NONSPOT_LED,0.9523810128964669,-0.11902778108410228,0.07410493269597573
2022-05-25,A_DISCOVERY,3,2022-05-28,G_POS,True,3.4151553791320035,3.283712551332351,0.9615119040841239,0.0384880959158761,True,False,0.44050044021921725,-0.30905761241956453,SPOT_LED,-0.30905761241956453,-0.674490759476595,0.08387644049768284
2022-05-25,A_DISCOVERY,7,2022-06-01,G_POS,True,3.4151553791320035,1.8377638999089365,0.5381201426847007,0.46187985731529935,True,False,-0.1872786022758951,1.7646700814989622,NONSPOT_LED,1.7646700814989622,-0.7538426135326635,0.02541430168033365
2022-05-28,A_DISCOVERY,1,2022-05-29,G_POS,True,3.283712551332351,3.780231619313756,1.1512066175767866,-0.15120661757678655,False,False,-0.009542337072989623,-0.4869767309084154,,-0.4869767309084154,0.0,-0.01415704754596625
2022-05-28,A_DISCOVERY,3,2022-05-31,G_POS,True,3.283712551332351,2.314461369730215,0.7048306858622974,0.29516931413770264,True,False,-1.4398842779723555,2.409135459574492,NONSPOT_LED,2.409135459574492,0.0,0.0008724210120174547
2022-05-28,A_DISCOVERY,7,2022-06-04,G_POS,True,3.283712551332351,3.2375240723430565,0.9859340675326306,0.014065932467369424,True,False,-0.6350468229212612,0.6812353019105557,NONSPOT_LED,,-2.5657099478129335,0.06235730805090256
2022-06-02,A_DISCOVERY,1,2022-06-03,G_POS,True,2.535892963067952,3.079498620037136,1.2143645906535123,-0.21436459065351232,False,False,-0.05437560443698608,-0.48923005253219753,,-0.48923005253219753,-0.07935185405606837,0.17214107723954353
2022-06-02,A_DISCOVERY,3,2022-06-05,G_POS,True,2.535892963067952,2.6886788979430967,1.0602493626900966,-0.06024936269009662,False,False,0.04722247999349172,-0.20000841486863608,,-0.20000841486863608,-0.2645061801869014,0.3127609417590209
