d0,confirm_date,direction,G0,q95_0,G1,SC1,NC1,entry_utc,exit_utc,entry_price,exit_price,gross_bps,net10_bps,stress20_bps
2025-07-14,2025-07-15,SHORT,2.6824235624386064,2.6568237759174633,1.8045981998041534,0.6851137170697108,0.1927116455647421,2025-07-15T18:00:00+00:00,2025-07-17T18:00:00+00:00,117373.0,119261.51,-160.89816226900533,-170.89816226900533,-180.89816226900533
2025-10-11,2025-10-12,LONG,-2.845085233529997,2.65586458678085,-2.70969742623127,0.1798597255059744,-0.044471918207247385,2025-10-12T18:00:00+00:00,2025-10-14T18:00:00+00:00,113799.99,112774.98,-90.07118541926151,-100.07118541926151,-110.07118541926151
2025-10-15,2025-10-16,LONG,-3.38746657187234,2.672752772033683,-3.155728793073729,0.34785412547486017,-0.11611634667624926,2025-10-16T18:00:00+00:00,2025-10-18T18:00:00+00:00,108276.69,106880.04,-128.98898183902773,-138.98898183902773,-148.98898183902773
