date,S_raw,O_raw,R_raw,L_raw,S_z,O_z,R_z,L_z,N,G,q95,extreme
2025-01-01,-0.04504283176149791,-7.885000000000005,0.04999999999999982,0.06112658052596475,-0.9472449850798513,-2.0049014976071953,0.33724537973829294,2.080651859032838,0.33724537973829294,-1.2844903648181443,2.692361842680638,False
2025-01-02,0.007331984943561071,0.3400000000000034,0.04999999999999982,0.05653876968281081,-0.10560403855003803,0.43613133353464645,0.337245379738292,1.8130780899530465,0.43613133353464645,-0.5417353720846845,2.6921146553056015,False
2025-01-03,0.038563445019268124,0.09499999999999886,0.040000000000000036,0.04952936856808322,0.4024208989539657,0.35660162669899337,0.252934034803719,1.4522532447316114,0.35660162669899337,0.04581927225497234,2.6918674679305648,False
2025-01-04,0.029389564552397558,-0.37999999999999545,0.019999999999999574,0.05710562314905964,0.2397298150528384,0.20974097442337164,0.08431134493456574,1.8041785012052012,0.20974097442337164,0.029988840629466773,2.6916202805555276,False
2025-01-05,0.04309579912996269,2.4100000000000037,0.019999999999999574,0.058760211385824046,0.46153802987740916,1.0642136811421312,0.08431134493456598,1.8538708590892117,1.0642136811421312,-0.602675651264722,2.6913730931804896,False
2025-01-06,0.10342860467062133,-0.44000000000000483,0.019999999999999574,0.05560262276871173,1.4934711041442168,0.17733453951795514,0.08431134493456598,1.722893850370293,0.17733453951795514,1.3161365646262617,2.691125905805453,False
2025-01-07,0.029754431727887713,1.6199999999999974,0.02999999999999936,0.04954560110298398,0.21785247041106875,0.8050622810705763,0.17986420252707983,1.403591746266109,0.8050622810705763,-0.5872098106595076,2.690878718430416,False
2025-01-08,0.007384362422159591,-1.5849999999999937,-0.05999999999999961,0.04863445754312444,-0.17765147367331047,-0.1974306664982717,-0.6744907594765867,1.3599700652838131,-0.1974306664982717,0.01977919282496124,2.690631531055379,False
2025-01-09,-0.0311157226427474,-5.039999999999999,-0.03000000000000025,0.041572221025046416,-0.8462019117833536,-1.2721407995191472,-0.38542329112948454,0.9849014373898796,-0.38542329112948454,-0.46077862065386904,2.6903843436803423,False
2025-01-10,-0.0441100998034625,-2.190000000000005,-0.019999999999999574,0.0417226193030123,-1.0539824161164193,-0.38730827270290186,-0.2248302531588624,0.990703533788782,-0.2248302531588624,-0.8291521629575569,2.6901371563053043,False
