d0,G0,q95_0,direction,confirm_date,G1,SC1,NC1,confirmed,no_entry_reasons,entry_dt,exit_dt
2025-02-27,-2.7249925460118396,2.679382087125475,LONG,2025-02-28,-2.7786370307420887,-0.14753188381599536,0.0938873990857463,False,GAP_NOT_SHRINKING;SPOT_NOT_CLOSING;SPOT_NOT_LEADING,,
2025-04-23,2.8843486225989055,2.6764715987832046,SHORT,2025-04-24,1.6218008693204613,0.05156164149918796,1.2109861117792562,False,SPOT_NOT_LEADING,,
2025-07-14,2.6824235624386064,2.6568237759174633,SHORT,2025-07-15,1.8045981998041534,0.6851137170697108,0.1927116455647421,True,,2025-07-15T18:00:00+00:00,2025-07-17T18:00:00+00:00
2025-08-02,-2.6927246071808,2.6569303524881986,LONG,2025-08-03,-2.671513163117176,-0.021987242265515183,0.04319868632913937,False,SPOT_NOT_CLOSING;SPOT_NOT_LEADING,,
2025-08-29,-3.4783616312619348,2.6580882195422033,LONG,2025-08-30,-2.391627603488371,0.256591554571604,0.8301424732019601,False,SPOT_NOT_LEADING,,
2025-10-11,-2.845085233529997,2.65586458678085,LONG,2025-10-12,-2.70969742623127,0.1798597255059744,-0.044471918207247385,True,,2025-10-12T18:00:00+00:00,2025-10-14T18:00:00+00:00
2025-10-15,-3.38746657187234,2.672752772033683,LONG,2025-10-16,-3.155728793073729,0.34785412547486017,-0.11611634667624926,True,,2025-10-16T18:00:00+00:00,2025-10-18T18:00:00+00:00
2025-11-20,-2.7456333478143726,2.6782178917885657,LONG,2025-11-21,-1.7093415074764255,0.0467791821351482,0.9895126582027989,False,SPOT_NOT_LEADING,,
2025-11-28,2.7886093012762476,2.6804558155328504,SHORT,2025-11-29,1.4110834261572784,-0.015074537457376191,1.3926004125763451,False,SPOT_NOT_CLOSING;SPOT_NOT_LEADING,,
