date,block,entry_utc,exit_utc,direction,G,q95,S_z,O_z,R_z,L_z,N,F_z,C_z,entry_price,exit_price,gross_bps,net10_bps,stress20_bps
2022-02-06,A_DISCOVERY,2022-02-06T18:00:00+00:00,2022-02-09T18:00:00+00:00,SHORT,2.417661138109039,2.312348659508542,1.1577152761472083,,-2.1920949682989344,-0.3277967556247276,-1.259945861961831,0.0,-1.1029137175587296,41644.84,44066.01,-581.3853529032654,-591.3853529032654,-601.3853529032654
2022-02-10,A_DISCOVERY,2022-02-10T18:00:00+00:00,2022-02-13T18:00:00+00:00,SHORT,2.657036929058933,2.3705709452103267,2.5674981963160697,-0.0033363104343427864,-2.8665857277755293,-0.08953873274286347,-0.08953873274286347,-1.2956152171044928,-1.1029137175587296,45330.43,42267.39,675.7138637334792,665.7138637334792,655.7138637334792
2022-03-27,A_DISCOVERY,2022-03-27T18:00:00+00:00,2022-03-30T18:00:00+00:00,SHORT,2.5516477233482933,2.3698449747169645,0.9094937614015268,0.8151343517365796,-2.505251392341639,-1.6421539619467662,-1.6421539619467662,-1.6616083096965586,1.3431563761271983,44919.53,47659.5,-609.9729894769612,-619.9729894769612,-629.9729894769612
2022-05-19,A_DISCOVERY,2022-05-19T18:00:00+00:00,2022-05-22T18:00:00+00:00,SHORT,4.178920471386116,2.3895339831725257,0.5331600093825083,-3.6457604620036075,0.5246039240373515,-4.396258910572671,-3.6457604620036075,-1.2331017950299976,-0.4280062613035237,30191.17,29931.67,85.95228339941752,75.95228339941752,65.95228339941752
2022-05-25,A_DISCOVERY,2022-05-25T18:00:00+00:00,2022-05-28T18:00:00+00:00,SHORT,3.4151553791320035,2.4302693807576627,0.46090915109634545,-2.9542462280356583,2.340879694654066,-4.411049813002457,-2.9542462280356583,0.08451551687622781,-0.8599945565581973,29711.64,28886.61,277.67905103858294,267.67905103858294,257.67905103858294
2022-05-28,A_DISCOVERY,2022-05-28T18:00:00+00:00,2022-05-31T18:00:00+00:00,SHORT,3.283712551332351,2.448648117861426,0.02040871087712818,-3.263303840455223,1.666388935177471,-4.327173372504774,-3.263303840455223,0.5550264995472975,-0.7039652144321756,28886.61,32122.09,-1120.0622018298434,-1130.0622018298434,-1140.0622018298434
2022-06-02,A_DISCOVERY,2022-06-02T18:00:00+00:00,2022-06-05T18:00:00+00:00,SHORT,2.535892963067952,2.4945342768027703,0.5872436145479479,-1.9486493485200043,-0.6348148324485611,-4.298145583756346,-1.9486493485200043,-1.8372267551859724,-0.7039652144321756,30193.95,30022.0,56.94849464876306,46.94849464876306,36.94849464876306
2022-06-05,A_DISCOVERY,2022-06-05T18:00:00+00:00,2022-06-08T18:00:00+00:00,SHORT,2.6886788979430967,2.5294069636542353,0.5400211345544562,-2.1486577633886403,-0.8993210126354625,-3.9853846419973253,-2.1486577633886403,-0.9641933415331955,0.10485380242545454,30022.0,30382.61,-120.11524881753388,-130.11524881753388,-140.11524881753388
2022-06-10,A_DISCOVERY,2022-06-10T18:00:00+00:00,2022-06-13T18:00:00+00:00,SHORT,3.0056258645380085,2.5374618041849923,0.018752289591984047,-2.9868735749460247,-0.6744907594765969,-3.1211359315126592,-2.9868735749460247,0.06360561851946774,0.10485380242545454,29115.01,23538.32,1915.4003381760808,1905.4003381760808,1895.4003381760808
2022-06-14,A_DISCOVERY,2022-06-14T18:00:00+00:00,2022-06-17T18:00:00+00:00,LONG,-3.0042415378537015,2.542181597358101,-3.6804055552092985,1.5874161504879054,-4.117943584172899,-0.6761640173555971,-0.6761640173555971,-2.445398748121487,-0.3886263132315037,22361.94,20592.59,-791.23278212892,-801.23278212892,-811.23278212892
